place,categories,user code,title,review,rating,date
Hard Rock Stadium,Arenas & Stadiums,Ivy B,Miami Open Tennis,The overall experience was good. Parking was $25 in advance. We got there early so there we got as close as possible to the entrance. The security check point moved pretty quickly. Each person could bring in up to 1 liter of water. I saw people with all kinds of non-alcoholic drinks in their bags. They even let people bring in food which I thought was not prohibited. It actually is a good thing since the food options could use some improvement. Not very many healthy food options. The food and beverages were very expensive. The temporary seating looked to be much more spacious and comfortable than the permanent stadium seats. The only good thing about the permanent 300 level seat is they are protected from the elements. The Grandstand and side course are the way to go during the first weekend and watch the stadium matches on the big screen. You definitely want to be in the 100 or 200 sections.,40,March 2019
Hard Rock Stadium,Arenas & Stadiums,56arielc,It is an amazing stadium,The best seats are in the middle of the field so you can see everywhere of the field and the best time to go is summer but the clothing wear is more expensive online than in the stadium so I would recommend to get the items in the stadium rather than get them online,50,July 2018
Hard Rock Stadium,Arenas & Stadiums,Popiel62,Miami Open,"If not the field packed with the wold top players I would totally regret coming there. In compare to other top tennis tournaments in the U.S. like Indian Wells, US Open or Cincinnati, Miami Open is far behind.",30,March 2019
Hard Rock Stadium,Arenas & Stadiums,L7812KHrobinm,Miami Tennis Open ,"Went here last weekend for the Miami Open, and I’ve never experienced such awful customer service! The two older women in blue dresses giving wrist bands for the club seats, were absolutely awful. I lost my phone in the restroom, and instead of being helpful they were rude and gave us zero customer service. I will never return to this venue, no matter what event it is!",10,March 2019
Hard Rock Stadium,Arenas & Stadiums,Jane S,Great Tennis Venue,Can’t wait to come back and watch more tennis. ,50,March 2019
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",ellenbee56,not much to see,"We visited this site after touring the nearby Fairchild Tropical Garden. We were underwhelmed and were expecting more, since it was so highly rated at both TripAdvisor and in the AAA Tour Book. We missed the property tour, which might have helped us enjoy it more, but to us there wasn't much to see here. The beautiful stone house was only sparsely furnished, and the adjacent cottage can be toured in 15 minutes (we did not wait for the house tour). We did not walk the grounds too far but did enjoy the rocking chairs on the cottage porch. The view to the bay and pier was inviting but was quite far to walk, so we skipped that; our view of the expansive lawn area was marred by large trash cans set up every 50 feet or so (in advance of an upcoming concert, I believe). Overall, we were not terribly impressed with this site and finished our visit in about an hour.",30,February 2018
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",Teresa N,ghost tour,i went here for the ghost tour at night. it was scary and atmospheric. the estate is nice too for a day tour.,50,November 2017
Lock & Load Museum,Specialty Museums,Mark K,Excellent experience with professional staff,"Wife and I visited Lock and Load in Miami after a SCUBA trip on a whim and got to try out several firearms that are not available in our home state. While the packages were tempting, we opted for the “a la carte” option to shoot what we wanted to. Unfortunately the British STEN was out of service. Brian was our instructor who gave a rundown of each firearms country of origin, service, safety, and operation. We appreciated the fact that he let us practice dry firing and trigger reset before loading each firearm. It was a very cool experience and we highly recommend it to anyone.",50,November 2019
Freedom Tower at Miami Dade College,"Historic Sites, Architectural Buildings",W59WFstephanieb,Lesser known side of Cuban-Amerucan History ,"Beautiful building inside and out. The exhibiton on the Cuban exodus of the 1950s-60s is really informative. The museum on the second floor is not for everyone, as it features some harder based photography and illustrations of a glitter Oscar Wilde poem. Admission is free though so if you have an hour or two in the area you should check it out. ",40,October 2016
Freedom Tower at Miami Dade College,"Historic Sites, Architectural Buildings",454christinac,"So much potential - id wait until the museum finishes ""rebranding""","This is a lovely and historic building which in and of itself is worth a visit. There is a wonderful exhibit of old photos on the Pedro pan movement of Cuban children but it feels rather incomplete and leaving you wanting more. It has so much potential but doesn't make much use of the momentum it propels. The current exhibit in the museum of art and design on the second floor is lack luster and limited but they are currently ""rebranding"" according to the women sitting at the front desk. Maybe wait until this period of rebranding is over before going for the exhibits.",30,October 2016
Monkey Jungle,"Nature & Wildlife Areas, Zoos",ckaep,So much fun,"If you like Monkeys, the monkey jungle is the place for you! If you REALLY like monkeys, pay the extra money to do the private rain forest tour and feed them! It was a great experience for the whole family. We will go back if we ever head back to FL!",50,August 2017
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",MotivatedAdventurer,Another beautiful historic estate,"Nevertheless, impressive grounds steeped in early 20th century wealthy industrialist history.   Very enthusiastic and knowledgeable docents. Note, entry fee is steep so unless you love wandering the grounds of such places, think twice..",30,December 2017
Hard Rock Stadium,Arenas & Stadiums,KPduties,Misrepresented,"I am a tennis fan and the Miami Open tournament is in March at the Hard Rock. The venue moved here recently and they emailed me to visit the construction. I did and enjoyed the evening. One of the salesmen, Ladarius, offered me an early way to purchase tickets before the general public sale. I agreed and put down 200. When they called me to purchase tickets, I was informed that I could only buy season tickets, costing thousands of dollars, not daily tickets. There was never any mention of this during our previous discussion. I will continue to support the tennis tournament, though I've lost 200 bucks, but Hard Rock sales staff leaves alot too be desired.  Beware.",10,June 2018
Hard Rock Stadium,Arenas & Stadiums,alarich2013,Jazz In The Garden 2019,I enjoyed going out to the Hardrock Stadium for the annual JITG. There's plenty of parking and very handicapped accessible.,50,March 2019
Hard Rock Stadium,Arenas & Stadiums,Real_in_NYC,Jazz in the Gardens at Hard Rock Stadium - Impressive,"I attended Jazz in the Gardens which was held at the stadium.  It was my first time at the stadium.  I was impressed with the coordination of the event and the level of professionalism of the stadium staff.  I hadn't planned on it, but I had to use a wheelchair. Complimentary wheelchairs, including staff to push you are available at Guest Experience booths throughout the stadium. Tina and Richard Humphrey were very helpful and accommodating to me and should be commended.  I also want to commend the security staff.  They were ever present and handled situations very effectively and quietly. All of the staff I encountered we very customer service oriented. I was impressed with my entire experience over the two days.",50,March 2019
Hard Rock Stadium,Arenas & Stadiums,kickinitwithkyla,Miami vs. Jacksonville,"Overall, the experience wasn't bad for our first game.",30,December 2018
Hard Rock Stadium,Arenas & Stadiums,Jfig56,Miami Tennis Open,"Eat a big breakfast or meal before going, your tennis experience will.be better.",40,March 2019
